TTEN,FETT,HRTT,CPTT,PTTT,TTET,ETDS,ETDR,ETLO,ETCP,ETPA,ETTE,ETCU,ETCD,ETPC,ETMC,ETTC,ETCC,ETUN,UNCH,UNID,UNTC,UNCP,UNCK,UNCV,UNCO,COCU,CONO,COTE,COBN,STTT,FPIN,FRIN,FPIC,FRIC,FPFC,FRFC,FPDE,FRDE,FPIT,FRIT,FPFT,FRFT
2434357,,,,6100,1079092,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2434417,02/10/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2434418,02/10/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2434430,02/10/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2434686,02/10/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2435024,,,,6100,1079092,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2437308,02/10/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2437330,02/10/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2437331,02/11/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2437748,02/11/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2437811,,,,6232,1077991,EXPRESO PONTEVEDRA SA,AV EVA PERON 3495,LIBERTAD,1716,AR,,30695240607,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2437977,,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2438030,,,,6257,1007518,NORTH COOL SA,PARQUE INDUSTRIAL  RUTA 34 KM 1135,GENERAL GUEMES,4430,AR,,30711337896,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2438060,,,,6100,1084916,CALICO SA,CALLAO AV PISO 14 DPTO B 661,CABA,1022,AR,,33596683679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2440363,02/11/2016,,,6207,1006527,TRANSPORTE FURLONG SA,RUTA PANAMERICANA KM 35500,GENERAL PACHECO,1617,AR,,30519071521,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2440489,,,,6207,1006527,TRANSPORTE FURLONG SA,RUTA PANAMERICANA KM 35500,GENERAL PACHECO,1617,AR,,30519071521,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2440512,,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2440657,,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2440659,,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2440698,,,,6232,1086265,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2440843,02/11/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2440894,,,,6257,1007518,NORTH COOL SA,PARQUE INDUSTRIAL  RUTA 34 KM 1135,GENERAL GUEMES,4430,AR,,30711337896,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2440995,,,,6245,1081058,SILBRUMAR SRL,AV PERON 2868 0,MAR DEL PLATA,7600,AR,,30709804258,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2440997,,,,6245,1081058,SILBRUMAR SRL,AV PERON 2868 0,MAR DEL PLATA,7600,AR,,30709804258,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2441010,02/11/2016,,,6201,1077334,AB LOGISTICA SA,RODRIGUEZ PENA 2411,MAIPU,5511,AR,,30705171218,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
